Completed at,Description,Project
2024-05-31T20:47:10.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-31T20:47:09.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-31T20:47:08.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-31T17:56:29.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-31T16:18:45.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-31T16:08:45.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-30T23:23:44.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-30T23:23:43.000000Z,Preply lesson - Cedrick A.,ğŸ“¦ Task box
2024-05-30T23:23:42.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-30T23:23:41.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-30T14:09:48.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-30T14:04:20.000000Z,Take out the trash @Alexa,ğŸ“¦ Task box
2024-05-30T14:04:18.000000Z,Dayanna's birthday,ğŸï¸ Events
2024-05-30T01:26:30.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-29T21:27:37.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-29T20:05:13.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-29T20:05:12.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-29T20:00:28.000000Z,Automate the defect creation process @ğŸ¤– Automation,ğŸŒ Security Analyst
2024-05-29T19:59:08.000000Z,Double check that everything is in place,ğŸŒ Security Analyst
2024-05-29T17:02:14.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-29T17:02:08.000000Z,Take out the recycle trash @Alexa @Siri,ğŸ“¦ Task box
2024-05-29T17:01:27.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-29T17:01:17.000000Z,Clean the max ğŸ’© @Alexa,ğŸ“¦ Task box
2024-05-29T17:01:12.000000Z,Snack,ğŸ“¦ Task box
2024-05-29T17:01:10.000000Z,Preply lesson - Cedrick A.,ğŸ“¦ Task box
2024-05-29T00:54:09.000000Z,Request advisory from an expert in occupational health @Mayo,â›³ï¸ Goals
2024-05-28T21:45:20.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-28T21:45:19.000000Z,Shower,ğŸ“¦ Task box
2024-05-28T21:45:15.000000Z,Unit test training @Mayo,ğŸ’» Back-End Dev
2024-05-28T16:55:29.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-28T15:36:47.000000Z,Perform claim,ğŸŒ Kyndryl
2024-05-28T15:22:46.000000Z,Clean my hiking shoes @Medium @Alexa @Mayo,â›³ï¸ Goals
2024-05-28T15:22:40.000000Z,Upgrade the teacher template @Alexa @Mayo,â›³ï¸ Goals
2024-05-28T15:06:22.000000Z,Plan the GF's cake,ğŸ“¦ Task box
2024-05-28T15:06:18.000000Z,Plans Raque's birthday,ğŸ“¦ Task box
2024-05-28T15:06:14.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-28T15:06:13.000000Z,Breakfast @Alexa,ğŸ“¦ Task box
2024-05-28T15:05:53.000000Z,Birthday: Girl ğŸ¼ @Alexa @Birthday,ğŸ“¦ Task box
2024-05-28T15:05:48.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-27T05:09:16.000000Z,Take out the trash @Alexa,ğŸ“¦ Task box
2024-05-27T05:08:51.000000Z,Dinner with my mother,ğŸï¸ Events
2024-05-27T05:08:37.000000Z,Snack,ğŸ“¦ Task box
2024-05-27T05:08:24.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-24T20:28:43.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-24T17:35:17.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-24T17:35:16.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-24T17:35:15.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-24T16:00:44.000000Z,Birthdays celebration,ğŸï¸ Events
2024-05-24T16:00:40.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-23T23:54:58.000000Z,Practice my pronunciation @Alexa @Siri,ğŸ“¦ Task box
2024-05-23T23:38:27.000000Z,Update my budget @Mayo,ğŸ“¦ Task box
2024-05-23T23:30:20.000000Z,Clean the max ğŸ’© @Alexa,ğŸ“¦ Task box
2024-05-23T22:55:49.000000Z,Preply lesson - Cedrick A.,ğŸ“¦ Task box
2024-05-23T22:55:42.000000Z,Label past videos,ğŸŒ Security Analyst
2024-05-23T22:55:41.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-23T22:55:40.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-23T17:20:13.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-23T17:20:13.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-23T15:44:28.000000Z,Update the KCNS EKS with the Nithya comments,ğŸŒ Security Analyst
2024-05-23T15:13:11.000000Z,Setup the meeting to clarify the naming approval for Consume,ğŸŒ Security Analyst
2024-05-23T14:56:18.000000Z,Print concert tickets,ğŸ“¦ Task box
2024-05-23T14:56:13.000000Z,Buy the small cake,ğŸ“¦ Task box
2024-05-23T14:55:25.000000Z,Birthday: Madre @Alexa @Birthday,ğŸ“¦ Task box
2024-05-23T14:54:21.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-23T14:54:04.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-23T03:13:47.000000Z,Snack,ğŸ“¦ Task box
2024-05-23T03:13:45.000000Z,Take out the trash @Alexa,ğŸ“¦ Task box
2024-05-23T03:04:46.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-23T03:04:46.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-23T03:04:29.000000Z,Swiming @Alexa,ğŸ“¦ Task box
2024-05-23T03:04:25.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-23T03:04:12.000000Z,Move all power automate connections to Scott's,ğŸŒ Security Analyst
2024-05-23T00:48:43.000000Z,Create the COO for KCNS EKS,ğŸŒ Security Analyst
2024-05-22T17:55:52.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-22T15:18:28.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-22T15:18:26.000000Z,Perform claim,ğŸŒ Kyndryl
2024-05-22T15:11:52.000000Z,ğŸ—„ï¸ Go to the office,ğŸï¸ Events
2024-05-22T15:11:52.000000Z,Book desktop,ğŸï¸ Events
2024-05-22T15:11:52.000000Z,Get into my transportation,ğŸï¸ Events
2024-05-22T15:11:51.000000Z,Get into my transportation,ğŸï¸ Events
2024-05-22T15:11:50.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-22T15:11:47.000000Z,Travel time,ğŸï¸ Events
2024-05-21T19:36:37.000000Z,Organize my calendar @Medium @Alexa @Mayo,â›³ï¸ Goals
2024-05-21T19:03:42.000000Z,Training **Hard to do Harm 2024**,ğŸŒ Kyndryl
2024-05-21T18:53:51.000000Z,Breakfast @Alexa,ğŸ“¦ Task box
2024-05-21T18:53:32.000000Z,Online Encounter - Unit 77,ğŸï¸ Events
2024-05-21T18:53:31.000000Z,AFZ LHS Appointment,ğŸï¸ Events
2024-05-21T18:53:22.000000Z,Review that all the recordings has been added to the microsoft loop,ğŸŒ Security Analyst
2024-05-21T12:32:59.000000Z,Star+ & Disney + @Alexa @Payments,ğŸ“¦ Task box
2024-05-21T12:29:10.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-21T12:29:09.000000Z,Shower,ğŸ“¦ Task box
2024-05-21T12:29:00.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-21T12:28:58.000000Z,Snack,ğŸ“¦ Task box
2024-05-21T12:28:49.000000Z,Swiming @Alexa,ğŸ“¦ Task box
2024-05-21T12:28:42.000000Z,Clean my Gadgets @Alexa,ğŸ“¦ Task box
2024-05-21T00:14:58.000000Z,Upgrade the teacher template @Alexa @Mayo,â›³ï¸ Goals
2024-05-20T23:54:08.000000Z,Make a strong review about the preply whiteboard. @Alexa @Mayo,â›³ï¸ Goals
2024-05-20T23:41:02.000000Z,Pack my gear @Alexa,ğŸï¸ Events
2024-05-20T23:41:00.000000Z,Preply lesson - Cedrick A.,ğŸ“¦ Task box
2024-05-20T20:53:31.000000Z,Make the request of the automatic org teams creation,ğŸŒ Security Analyst
2024-05-20T20:07:48.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-20T18:03:54.000000Z,Improve the security form the developer perspective,ğŸŒ Security Analyst
2024-05-20T18:03:54.000000Z,Create a secure practices documentation @ğŸ“‘ Documentation,ğŸŒ Security Analyst
2024-05-20T18:03:54.000000Z,Study about secure code @ğŸ“š Learning,ğŸŒ Security Analyst
2024-05-20T18:03:54.000000Z,Create a guide of the best practices to use base images @ğŸ“‘ Documentation,ğŸŒ Security Analyst
2024-05-20T18:03:18.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-20T15:37:06.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-20T14:55:57.000000Z,Take out the trash @Alexa,ğŸ“¦ Task box
2024-05-20T14:55:44.000000Z,Eating out with friends,ğŸï¸ Events
2024-05-20T14:54:11.000000Z,Book desktop,ğŸï¸ Events
2024-05-20T14:53:53.000000Z,Book desktop,ğŸï¸ Events
2024-05-19T00:37:04.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-19T00:15:22.000000Z,Clean my Hicking shoes @Medium @Alexa @Mayo,â›³ï¸ Goals
2024-05-19T00:14:35.000000Z,Standup desk,ğŸ§° Projects
2024-05-19T00:14:23.000000Z,Paint the wood @Large @Mayo,ğŸ§° Projects
2024-05-19T00:12:21.000000Z,Preply lesson - Cedrick A.,ğŸ“¦ Task box
2024-05-17T22:02:10.000000Z,Resolve the issue with the OSSC Control Panel power automate,ğŸŒ Security Analyst
2024-05-17T21:56:33.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-17T21:01:02.000000Z,Translate the conversation Terraform consume,ğŸŒ Security Analyst
2024-05-17T18:24:03.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-17T18:24:02.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-17T18:24:01.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-17T18:23:29.000000Z,Check that Scott have access to all the applications,ğŸŒ Security Analyst
2024-05-17T02:55:01.000000Z,Preply lesson - Cedrick A.,ğŸ“¦ Task box
2024-05-17T02:55:00.000000Z,Update my budget @Medium @Mayo,ğŸ“¦ Task box
2024-05-17T02:54:49.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-16T21:10:47.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-16T21:10:39.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-16T21:10:38.000000Z,Clear communications,ğŸ“¦ Task box
2024-05-16T21:10:37.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-16T21:10:19.000000Z,Swiming @Alexa,ğŸ“¦ Task box
2024-05-16T21:10:18.000000Z,Take out the trash @Alexa,ğŸ“¦ Task box
2024-05-16T21:10:09.000000Z,Clean the max ğŸ’© @Alexa,ğŸ“¦ Task box
2024-05-15T23:28:40.000000Z,Clear google photos @Mayo,ğŸ“¦ Task box
2024-05-15T23:25:16.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-15T23:25:10.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-15T21:55:06.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-15T21:55:05.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-15T21:55:03.000000Z,Snack,ğŸ“¦ Task box
2024-05-15T21:54:57.000000Z,Get into my transportation,ğŸï¸ Events
2024-05-15T21:54:32.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-15T21:54:25.000000Z,Transportation time,ğŸï¸ Events
2024-05-15T21:54:08.000000Z,Lunch,Inbox
2024-05-14T14:01:29.000000Z,Breakfast @Alexa,ğŸ“¦ Task box
2024-05-14T13:41:11.000000Z,Snack,ğŸ“¦ Task box
2024-05-14T13:40:55.000000Z,Pack my gear @Alexa,ğŸï¸ Events
2024-05-14T13:40:50.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-14T13:40:37.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-13T20:28:07.000000Z,Book desktop,ğŸï¸ Events
2024-05-13T20:11:17.000000Z,SFD Create documentation.,ğŸŒ Security Analyst
2024-05-13T20:08:52.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-13T17:33:45.000000Z,Defects Notifier Enable it again,ğŸŒ Security Analyst
2024-05-13T15:50:34.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-13T15:50:33.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-13T14:12:14.000000Z,Perform claim,ğŸŒ Kyndryl
2024-05-13T13:38:38.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-13T13:38:29.000000Z,Review the car @Alexa,ğŸ“¦ Task box
2024-05-13T13:38:23.000000Z,Take out the trash @Alexa,ğŸ“¦ Task box
2024-05-13T13:37:49.000000Z,Ares meet,ğŸï¸ Events
2024-05-13T13:37:49.000000Z,Preply,ğŸ“¦ Task box
2024-05-10T23:05:42.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-10T23:05:39.000000Z,Work on SFD new feature,ğŸŒ Security Analyst
2024-05-10T18:31:14.000000Z,Enable chrome in OSA,Inbox
2024-05-10T18:31:12.000000Z,Enable chrome in OSA,ğŸŒ Security Analyst
2024-05-10T16:42:24.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-10T16:10:55.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-10T15:59:11.000000Z,Amazon prime @Alexa @Payments,ğŸ“¦ Task box
2024-05-10T15:52:08.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-10T15:52:07.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-09T22:15:33.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-09T22:13:05.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-09T22:13:04.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-09T22:12:59.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-09T22:06:59.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-09T22:06:57.000000Z,Swiming @Alexa,ğŸ“¦ Task box
2024-05-08T20:43:25.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-08T20:43:23.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-08T20:43:21.000000Z,Breakfast,ğŸ“¦ Task box
2024-05-08T20:43:20.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-08T15:34:10.000000Z,Call my family @Alexa,ğŸ“¦ Task box
2024-05-08T15:33:41.000000Z,Make the scans for KCNS VMC,ğŸŒ Security Analyst
2024-05-08T13:54:27.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-08T13:53:39.000000Z,Snack,ğŸ“¦ Task box
2024-05-08T13:53:30.000000Z,Update my budget @Alexa @Mayo,â›³ï¸ Goals
2024-05-08T02:12:47.000000Z,Goal Championship @Alexa,ğŸï¸ Events
2024-05-08T02:12:42.000000Z,Walk max @Alexa,ğŸ“¦ Task box
2024-05-08T02:12:39.000000Z,Clean the max ğŸ’© @Alexa,ğŸ“¦ Task box
2024-05-07T22:52:48.000000Z,Preply lesson - Cedrick A.,ğŸ“¦ Task box
2024-05-07T22:52:41.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-07T22:52:40.000000Z,Shower,ğŸ“¦ Task box
2024-05-07T22:52:37.000000Z,Breakfast @Alexa,ğŸ“¦ Task box
2024-05-07T14:39:23.000000Z,Wall Street English,ğŸ“¦ Task box
2024-05-07T14:10:51.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-07T14:10:48.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-07T14:10:46.000000Z,Read time,ğŸ“¦ Task box
2024-05-07T14:10:13.000000Z,Swiming @Alexa,ğŸ“¦ Task box
2024-05-06T23:24:21.000000Z,Fix the phone stand @Mayo,ğŸ§° Projects
2024-05-06T23:18:23.000000Z,Breakfast @Alexa,ğŸ“¦ Task box
2024-05-06T23:18:15.000000Z,Preply lesson - Cedrick A.,ğŸ“¦ Task box
2024-05-06T23:18:06.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-06T23:18:06.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-06T14:51:44.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-06T14:50:31.000000Z,Create a form for request the OSSC,ğŸŒ Security Analyst
2024-05-06T14:43:36.000000Z,Take out the trash @Alexa,ğŸ“¦ Task box
2024-05-06T14:39:37.000000Z,Perform claim,ğŸŒ Kyndryl
2024-05-04T22:45:53.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-04T22:45:50.000000Z,Practice Duolingo exam @Medium @Alexa @Mayo,ğŸ§° Projects
2024-05-04T20:55:47.000000Z,Breakfast @Alexa,ğŸ“¦ Task box
2024-05-04T17:14:25.000000Z,Create the soundbar shortcut @Alexa @Mayo,â›³ï¸ Goals
2024-05-03T21:38:12.000000Z,Spotify @Alexa @Payments,ğŸ“¦ Task box
2024-05-03T21:38:11.000000Z,Snack,ğŸ“¦ Task box
2024-05-03T21:38:08.000000Z,Create the templates of the Defect Hub,ğŸŒ Security Analyst
2024-05-03T21:38:02.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-03T21:38:01.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-03T21:38:00.000000Z,Clean my Gadgets @Alexa,ğŸ“¦ Task box
2024-05-03T21:37:58.000000Z,Breakfast @Alexa,ğŸ“¦ Task box
2024-05-03T15:05:44.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-03T15:05:33.000000Z,Dinner @Alexa,ğŸ“¦ Task box
2024-05-02T23:00:33.000000Z,Snack,ğŸ“¦ Task box
2024-05-02T15:07:49.000000Z,Clear communications @Alexa,ğŸ“¦ Task box
2024-05-02T15:07:03.000000Z,Lunch @Alexa,ğŸ“¦ Task box
2024-05-02T15:06:20.000000Z,Breakfast @Alexa,ğŸ“¦ Task box
2024-05-02T15:06:03.000000Z,Shower @Alexa,ğŸ“¦ Task box
2024-05-02T15:05:12.000000Z,Google One @Alexa @Payments,ğŸ“¦ Task box
2024-05-02T15:05:11.000000Z,Pay credit card @Alexa @Payments,ğŸ“¦ Task box
2024-05-02T15:05:11.000000Z,Liberty @Alexa @Payments,ğŸ“¦ Task box
2024-05-02T15:05:11.000000Z,Dashlane @Alexa @Payments,ğŸ“¦ Task box
2024-05-02T15:05:10.000000Z,Spotify @Alexa @Payments,ğŸ“¦ Task box
2024-05-02T15:00:00.000000Z,Arrentment @Alexa @Payments,ğŸ“¦ Task box
2024-05-02T14:59:59.000000Z,Public services @Alexa @Payments,ğŸ“¦ Task box
2024-05-02T14:47:04.000000Z,Clean the max ğŸ’© @Alexa,ğŸ“¦ Task box
2024-05-02T14:46:26.000000Z,Metrocom @Alexa @Payments,ğŸ“¦ Task box
2024-05-02T14:46:20.000000Z,Perform claim,ğŸŒ Kyndryl
2024-05-02T03:36:27.000000Z,Resolve defect hub issues,ğŸŒ Security Analyst
2024-05-02T03:36:19.000000Z,Update my budget @Medium,ğŸ“¦ Task box
2024-05-01T03:40:47.000000Z,Create some logos @Alexa,â›³ï¸ Goals
2024-05-01T03:40:43.000000Z,Create some logos @Alexa @Mayo,â›³ï¸ Goals
2024-05-01T03:40:24.000000Z,Thing in some names @Alexa @Mayo,â›³ï¸ Goals
2024-05-01T03:39:20.000000Z,Research about the roles and permissions @Alexa,â›³ï¸ Goals
2024-05-01T03:39:16.000000Z,Research about the roles and permissions @Alexa @Mayo,â›³ï¸ Goals
2024-05-01T03:38:34.000000Z,Create the discord community @Alexa @Mayo,â›³ï¸ Goals
2024-05-01T03:37:51.000000Z,Think in the idea @Alexa @Mayo,â›³ï¸ Goals